Date,Route,Attempted,Succeeded,Success Percentage
08-02-15,Disappointment Cleaver,8,7,0.875
08-02-15,Disappointment Cleaver,12,7,0.583333333
08-02-15,Kautz Glacier,12,0,0
08-02-15,Disappointment Cleaver,1,0,0
08-02-15,Disappointment Cleaver,2,0,0
08-02-15,Kautz Glacier,3,0,0
08-02-15,Disappointment Cleaver,2,2,1
08-02-15,Disappointment Cleaver,2,0,0
08-02-15,Disappointment Cleaver,3,0,0
08-02-15,Disappointment Cleaver,7,7,1
08-02-15,Emmons-Winthrop,3,3,1
08-02-15,Disappointment Cleaver,9,6,0.666666667
08-02-15,Disappointment Cleaver,3,3,1
08-01-15,Disappointment Cleaver,9,8,0.888888889
08-01-15,Disappointment Cleaver,3,0,0
08-01-15,Disappointment Cleaver,2,2,1
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Disappointment Cleaver,7,4,0.571428571
08-01-15,Disappointment Cleaver,5,0,0
08-01-15,Disappointment Cleaver,2,2,1
08-01-15,Disappointment Cleaver,3,0,0
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Disappointment Cleaver,3,2,0.666666667
08-01-15,Disappointment Cleaver,2,2,1
08-01-15,Disappointment Cleaver,3,0,0
08-01-15,Kautz Glacier,3,0,0
08-01-15,Emmons-Winthrop,3,0,0
08-01-15,Emmons-Winthrop,10,10,1
08-01-15,Disappointment Cleaver,12,7,0.583333333
08-01-15,Disappointment Cleaver,9,6,0.666666667
08-01-15,Disappointment Cleaver,10,7,0.7
08-01-15,Kautz Glacier,2,0,0
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Disappointment Cleaver,2,2,1
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Disappointment Cleaver,2,2,1
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Disappointment Cleaver,3,3,1
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Emmons-Winthrop,3,3,1
08-01-15,Disappointment Cleaver,2,0,0
08-01-15,Disappointment Cleaver,2,2,1
7/31/2015,Disappointment Cleaver,4,0,0
7/31/2015,Disappointment Cleaver,6,3,0.5
7/31/2015,Disappointment Cleaver,11,0,0
7/31/2015,Disappointment Cleaver,2,2,1
7/31/2015,Disappointment Cleaver,1,0,0
7/31/2015,Emmons-Winthrop,3,0,0
7/31/2015,Emmons-Winthrop,6,0,0
7/31/2015,Disappointment Cleaver,2,2,1
7/31/2015,Disappointment Cleaver,3,2,0.666666667
7/31/2015,Disappointment Cleaver,7,4,0.571428571
7/31/2015,Disappointment Cleaver,5,5,1
7/31/2015,Disappointment Cleaver,3,0,0
7/31/2015,Disappointment Cleaver,3,0,0
7/31/2015,Disappointment Cleaver,2,0,0
7/31/2015,Disappointment Cleaver,2,0,0
7/31/2015,Kautz Glacier,2,2,1
7/31/2015,Disappointment Cleaver,2,2,1
7/31/2015,Disappointment Cleaver,4,4,1
7/31/2015,Disappointment Cleaver,3,1,0.333333333
7/31/2015,Disappointment Cleaver,4,0,0
7/31/2015,Disappointment Cleaver,10,9,0.9
7/31/2015,Disappointment Cleaver,12,6,0.5
7/31/2015,Disappointment Cleaver,12,10,0.833333333
7/31/2015,Disappointment Cleaver,3,3,1
7/31/2015,Disappointment Cleaver,3,2,0.666666667
7/31/2015,Disappointment Cleaver,3,0,0
7/31/2015,Disappointment Cleaver,4,0,0
7/31/2015,Disappointment Cleaver,1,0,0
7/30/2015,Disappointment Cleaver,1,0,0
7/30/2015,Disappointment Cleaver,3,3,1
7/30/2015,Disappointment Cleaver,2,0,0
7/30/2015,Disappointment Cleaver,6,5,0.833333333
7/30/2015,Disappointment Cleaver,5,5,1
7/30/2015,Disappointment Cleaver,3,3,1
7/30/2015,glacier only - no summit attempt,2,0,0
7/30/2015,Disappointment Cleaver,4,4,1
7/30/2015,Emmons-Winthrop,2,2,1
7/30/2015,Disappointment Cleaver,12,9,0.75
7/29/2015,Disappointment Cleaver,2,2,1
7/29/2015,Emmons-Winthrop,6,6,1
7/29/2015,Disappointment Cleaver,4,0,0
7/29/2015,Emmons-Winthrop,5,0,0
7/29/2015,Emmons-Winthrop,6,0,0
7/28/2015,Disappointment Cleaver,2,2,1
7/28/2015,Fuhrers Finger,2,0,0
7/28/2015,Disappointment Cleaver,2,2,1
7/28/2015,Disappointment Cleaver,2,2,1
7/28/2015,Disappointment Cleaver,2,2,1
7/28/2015,Disappointment Cleaver,2,2,1
7/28/2015,Disappointment Cleaver,2,0,0
7/28/2015,Emmons-Winthrop,3,0,0
7/28/2015,Emmons-Winthrop,12,10,0.833333333
7/28/2015,Disappointment Cleaver,3,2,0.666666667
7/28/2015,Disappointment Cleaver,2,0,0
7/28/2015,Disappointment Cleaver,3,3,1
7/28/2015,Disappointment Cleaver,7,3,0.428571429
7/27/2015,Disappointment Cleaver,4,4,1
7/27/2015,Disappointment Cleaver,4,0,0
7/27/2015,Disappointment Cleaver,2,2,1
7/27/2015,Disappointment Cleaver,2,2,1
7/27/2015,Disappointment Cleaver,3,3,1
7/27/2015,Emmons-Winthrop,3,3,1
7/27/2015,Emmons-Winthrop,2,2,1
7/27/2015,Disappointment Cleaver,3,3,1
7/27/2015,Emmons-Winthrop,3,4,1.333333333
7/27/2015,Emmons-Winthrop,12,12,1
7/27/2015,Kautz Glacier,3,0,0
7/27/2015,Disappointment Cleaver,3,3,1
7/27/2015,Little Tahoma,6,6,1
7/27/2015,Disappointment Cleaver,2,2,1
7/26/2015,Kautz Glacier,3,3,1
7/26/2015,Emmons-Winthrop,11,8,0.727272727
7/26/2015,Success Cleaver,5,0,0
7/26/2015,Little Tahoma,4,0,0
7/26/2015,Kautz Glacier,6,4,0.666666667
7/26/2015,Disappointment Cleaver,2,2,1
7/26/2015,Disappointment Cleaver,7,5,0.714285714
7/26/2015,Emmons-Winthrop,4,0,0
7/26/2015,Kautz Glacier,4,0,0
7/26/2015,Disappointment Cleaver,2,0,0
7/26/2015,Kautz Glacier,12,0,0
7/26/2015,Disappointment Cleaver,12,3,0.25
7/26/2015,Disappointment Cleaver,12,6,0.5
7/26/2015,Disappointment Cleaver,2,0,0
7/26/2015,Kautz Glacier,12,6,0.5
7/25/2015,Disappointment Cleaver,3,0,0
7/25/2015,Disappointment Cleaver,2,0,0
7/25/2015,Emmons-Winthrop,2,1,0.5
7/25/2015,Emmons-Winthrop,12,0,0
7/25/2015,Disappointment Cleaver,2,0,0
7/25/2015,Disappointment Cleaver,3,0,0
7/25/2015,Disappointment Cleaver,2,0,0
7/25/2015,Disappointment Cleaver,3,0,0
7/25/2015,Disappointment Cleaver,7,0,0
7/25/2015,Disappointment Cleaver,11,9,0.818181818
7/25/2015,Disappointment Cleaver,12,6,0.5
7/25/2015,Disappointment Cleaver,12,11,0.916666667
7/25/2015,Emmons-Winthrop,8,0,0
7/25/2015,Disappointment Cleaver,5,5,1
7/24/2015,Emmons-Winthrop,4,0,0
7/24/2015,Disappointment Cleaver,4,0,0
7/24/2015,Emmons-Winthrop,4,0,0
7/24/2015,Disappointment Cleaver,6,0,0
7/24/2015,Disappointment Cleaver,4,0,0
7/24/2015,Disappointment Cleaver,12,0,0
7/24/2015,Disappointment Cleaver,11,0,0
7/24/2015,Disappointment Cleaver,4,0,0
7/24/2015,Disappointment Cleaver,2,0,0
7/24/2015,Disappointment Cleaver,4,0,0
7/23/2015,Disappointment Cleaver,6,6,1
7/23/2015,Emmons-Winthrop,2,0,0
7/23/2015,Disappointment Cleaver,2,2,1
7/23/2015,Kautz Glacier,2,0,0
7/23/2015,Emmons-Winthrop,5,0,0
7/23/2015,Disappointment Cleaver,2,0,0
7/23/2015,Kautz Glacier,4,0,0
7/23/2015,Emmons-Winthrop,2,0,0
7/23/2015,Disappointment Cleaver,11,0,0
7/23/2015,Disappointment Cleaver,2,0,0
7/23/2015,Disappointment Cleaver,3,3,1
7/23/2015,Disappointment Cleaver,2,2,1
7/23/2015,Disappointment Cleaver,4,4,1
7/23/2015,Disappointment Cleaver,6,0,0
7/23/2015,Emmons-Winthrop,2,0,0
7/23/2015,Emmons-Winthrop,2,0,0
7/23/2015,Emmons-Winthrop,11,0,0
7/22/2015,Disappointment Cleaver,12,7,0.583333333
7/22/2015,Disappointment Cleaver,12,12,1
7/22/2015,Disappointment Cleaver,12,8,0.666666667
7/22/2015,Disappointment Cleaver,4,0,0
7/22/2015,Disappointment Cleaver,5,5,1
7/22/2015,Disappointment Cleaver,2,0,0
7/22/2015,Kautz Glacier,2,2,1
